"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score",,,,,,,
"01/19/26 07:54 AM",17,"Jason Ubeika",546,"Sandy Nang",341,,,,,,,
"01/19/26 07:56 AM",17,"Charles Reinke",497,"Ekansh Arora",291,,,,,,,
"01/19/26 07:58 AM",17,"Erickson Smith",523,"Puneet Sharma",360,,,,,,,
"01/19/26 08:00 AM",17,"Thomas Reinke",484,"Joshua Castellano",401,,,,,,,
"01/19/26 08:05 AM",17,"Evans Clinchy",446,"Mohammad Sulaiman",439,,,,,,,
"01/19/26 08:08 AM",17,"Eta Karo",471,"Dave Wiegand",459,,,,,,,
"01/19/26 08:57 AM",18,"Geoff Thevenot",423,"Sandy Nang",363,,,,,,,
"01/19/26 09:00 AM",18,"Chris Lipe",497,"Greg Harper",402,,,,,,,
"01/19/26 09:02 AM",18,"Charles Reinke",501,"Randi Goldberg",405,,,,,,,
"01/19/26 09:05 AM",18,"Rob Robinsky",556,"Erickson Smith",314,,,,,,,
"01/19/26 09:06 AM",18,"Austin Shin",467,"Thomas Reinke",418,,,,,,,
"01/19/26 09:08 AM",18,"Josh Sokol",457,"Dave Wiegand",417,,,,,,,
"01/19/26 09:09 AM",18,"Scott Jackson",498,"Tim Weiss",376,,,,,,,
"01/19/26 09:11 AM",18,"Ben Schoenbrun",416,"Kevin Fraley",415,,,,,,,
"01/19/26 09:12 AM",18,"Eta Karo",502,"Matthew O'Connor",409,,,,,,,
"01/19/26 09:15 AM",18,"Evans Clinchy",487,"Joshua Castellano",458,,,,,,,
"01/19/26 09:17 AM",18,"Puneet Sharma",411,"Jason Ubeika",383,,,,,,,
"01/19/26 09:25 AM",18,"Ekansh Arora",476,"Mohammad Sulaiman",362,,,,,,,
"01/19/26 10:08 AM",19,"Ben Schoenbrun",588,"Matthew O'Connor",450,,,,,,,
"01/19/26 10:08 AM",19,"Greg Harper",462,"Sandy Nang",339,,,,,,,
"01/19/26 10:09 AM",19,"Evans Clinchy",484,"Kevin Fraley",389,,,,,,,
"01/19/26 10:12 AM",19,"Austin Shin",518,"Dave Wiegand",464,,,,,,,
"01/19/26 10:13 AM",19,"Joshua Castellano",473,"Geoff Thevenot",365,,,,,,,
"01/19/26 10:16 AM",19,"Jason Ubeika",471,"Randi Goldberg",304,,,,,,,
"01/19/26 10:17 AM",19,"Erickson Smith",472,"Scott Jackson",420,,,,,,,
"01/19/26 10:20 AM",19,"Tim Weiss",497,"Ekansh Arora",410,,,,,,,
"01/19/26 10:22 AM",19,"Josh Sokol",471,"Eta Karo",345,,,,,,,
"01/19/26 10:25 AM",19,"Charles Reinke",472,"Puneet Sharma",382,,,,,,,
"01/19/26 10:25 AM",19,"Mohammad Sulaiman",430,"Chris Lipe",393,,,,,,,
"01/19/26 10:26 AM",19,"Rob Robinsky",426,"Thomas Reinke",425,,,,,,,
01/19/26 11:16 AM,20,"Josh Sokol",546,"Joshua Castellano",406,,,,,,,
01/19/26 11:17 AM,20,"Geoff Thevenot",458,"Tim Weiss",431,,,,,,,
01/19/26 11:17 AM,20,"Eta Karo",517,"Austin Shin",352,,,,,,,
01/19/26 11:20 AM,20,"Dave Wiegand",483,"Ben Schoenbrun",350,,,,,,,
01/19/26 11:22 AM,20,"Ekansh Arora",425,"Sandy Nang",384,,,,,,,
01/19/26 11:25 AM,20,"Scott Jackson",431,"Jason Ubeika",380,,,,,,,
01/19/26 11:26 AM,20,"Rob Robinsky",442,"Evans Clinchy",356,,,,,,,
01/19/26 11:26 AM,20,"Thomas Reinke",531,"Puneet Sharma",352,,,,,,,
01/19/26 11:29 AM,20,"Erickson Smith",525,"Matthew O'Connor",459,,,,,,,
01/19/26 11:30 AM,20,"Chris Lipe",432,"Mohammad Sulaiman",342,,,,,,,
01/19/26 11:30 AM,20,"Kevin Fraley",506,"Charles Reinke",445,,,,,,,
01/19/26 11:35 AM,20,"Randi Goldberg",473,"Greg Harper",399,,,,,,,
